benchmark,condition,scope,domain,n,acc,acc_ci95_lo,acc_ci95_hi,p50_lat_s,p95_lat_s,p50_comp_tok,p95_comp_tok,stuck_rate,wall_s,seed,timestamp_utc
gpqa,tb2048,overall,ALL,198,0.7424,0.6773,0.7983,31.184,104.616,2831,9217,0.0303,1001.2,42,2026-05-15T01:07:32Z
gpqa,tb2048,domain,Physics,86,0.8721,0.7853,0.9271,,,,,,,42,2026-05-15T01:07:32Z
gpqa,tb2048,domain,Chemistry,93,0.6344,0.5330,0.7251,,,,,,,42,2026-05-15T01:07:32Z
gpqa,tb2048,domain,Biology,19,0.6842,0.4601,0.8464,,,,,,,42,2026-05-15T01:07:32Z
gpqa,unbounded,overall,ALL,198,0.4040,0.3381,0.4736,196.905,222.192,16384,16384,0.5707,4192.8,42,2026-05-15T01:24:17Z
gpqa,unbounded,domain,Biology,19,0.3684,0.1915,0.5896,,,,,,,42,2026-05-15T01:24:17Z
gpqa,unbounded,domain,Physics,86,0.5930,0.4874,0.6907,,,,,,,42,2026-05-15T01:24:17Z
gpqa,unbounded,domain,Chemistry,93,0.2366,0.1617,0.3323,,,,,,,42,2026-05-15T01:24:17Z
gpqa_sweep,tb1024,overall,ALL,198,0.7727,0.7095,0.8256,20.469,115.031,1874,10209,0.0253,900.0,42,2026-05-15T14:08:06Z
gpqa_sweep,tb1024,domain,Biology,19,0.6316,0.4104,0.8085,,,,,,,42,2026-05-15T14:08:06Z
gpqa_sweep,tb1024,domain,Chemistry,93,0.6559,0.5549,0.7446,,,,,,,42,2026-05-15T14:08:06Z
gpqa_sweep,tb1024,domain,Physics,86,0.9302,0.8560,0.9676,,,,,,,42,2026-05-15T14:08:06Z
gpqa_sweep,tb4096,overall,ALL,198,0.7828,0.7203,0.8346,54.123,98.732,4774,8337,0.0354,1511.3,42,2026-05-15T14:23:09Z
gpqa_sweep,tb4096,domain,Biology,19,0.6316,0.4104,0.8085,,,,,,,42,2026-05-15T14:23:09Z
gpqa_sweep,tb4096,domain,Physics,86,0.9186,0.8414,0.9600,,,,,,,42,2026-05-15T14:23:09Z
gpqa_sweep,tb4096,domain,Chemistry,93,0.6882,0.5881,0.7733,,,,,,,42,2026-05-15T14:23:09Z
gpqa_sweep,tb8192,overall,ALL,198,0.7828,0.7203,0.8346,110.519,128.886,8814,9891,0.0253,2677.6,42,2026-05-15T14:48:24Z
gpqa_sweep,tb8192,domain,Biology,19,0.6842,0.4601,0.8464,,,,,,,42,2026-05-15T14:48:24Z
gpqa_sweep,tb8192,domain,Physics,86,0.9070,0.8270,0.9521,,,,,,,42,2026-05-15T14:48:24Z
gpqa_sweep,tb8192,domain,Chemistry,93,0.6882,0.5881,0.7733,,,,,,,42,2026-05-15T14:48:24Z
gsm_plus,tb2048,overall,ALL,2000,0.8075,0.7896,0.8242,22.173,73.973,2183,6604,0.0330,7110.7,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,numerical substitution,250,0.8920,0.8474,0.9247,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,adding operation,250,0.8480,0.7983,0.8872,,,,,,,42,2026-05-15T02:34:13Z
gsm_plus,tb2048,domain,digit expansion,250,0.9400,0.9034,0.9633,,,,,,,42,2026-05-15T02:34:13Z
