stage,config,batched,capture,num_spec,gates,mean_decode_tps,min_decode_tps,max_decode_tps,spec_accept_rate,humaneval_pass,humaneval_total,humaneval_pct,mbpp_pass,mbpp_total,mbpp_pct,humaneval_empty,humaneval_test_fail,mbpp_empty,mbpp_test_fail,humaneval_eff_tps,mbpp_eff_tps,humaneval_p95_s,mbpp_p95_s
A,b8192_c64_n8,8192,64,8,4/4,187.4,,,,,,,,,,,,,,,,,
A,b8192_c128_n8,8192,128,8,4/4,184.6,,,,,,,,,,,,,,,,,
A,b8192_c256_n8,8192,256,8,4/4,183.5,,,,,,,,,,,,,,,,,
A,b16384_c64_n8,16384,64,8,4/4,188.7,,,,,,,,,,,,,,,,,
A,b16384_c128_n8,16384,128,8,4/4,186.1,,,,,,,,,,,,,,,,,
A,b16384_c256_n8,16384,256,8,4/4,188.2,,,,,,,,,,,,,,,,,
A,b32768_c64_n8,32768,64,8,4/4,187.5,,,,,,,,,,,,,,,,,
A,b32768_c128_n8,32768,128,8,4/4,188.4,,,,,,,,,,,,,,,,,
A,b32768_c256_n8,32768,256,8,4/4,190.1,,,,0.231,,,,,,,,,,,,
B,b32768_c256_n4,32768,256,4,4/4,72.1,,,,0.005,,,,,,,,,,,,
B,b32768_c256_n8,32768,256,8,4/4,190.0,,,,0.231,,,,,,,,,,,,
B,b32768_c256_n15,32768,256,15,4/4,176.3,,,,0.121,,,,,,,,,,,,
B,b32768_c256_n16,32768,256,16,4/4,109.1,,,,0.053,,,,,,,,,,,,
Quality,winner_b32768_c256_n8,32768,256,8,4/4,,,,,96,164,58.5%,211,257,82.1%,19,49,37,9,1060.8,1052.8,31.2,33.5
Quality,repne_baseline_b32768_c256_n8,32768,256,8,4/4,,,,,107,164,65.2%,205,257,79.8%,17,40,39,13,1053.7,1031.7,30.9,33.8
