benchmark,condition,scope,domain,n,acc,p50_lat_s,p95_lat_s,p50_comp_tok,p95_comp_tok,stuck_rate,n_errors
gpqa,tb2048,overall,ALL,198,0.7424,31.184,104.616,2831.0,9216.9,0.0303,0
gpqa,tb2048,domain,Physics,86,0.8721,,,,,,
gpqa,tb2048,domain,Chemistry,93,0.6344,,,,,,
gpqa,tb2048,domain,Biology,19,0.6842,,,,,,
gpqa,unbounded,overall,ALL,198,0.4040,196.905,222.192,16384.0,16384.0,0.5707,0
gpqa,unbounded,domain,Biology,19,0.3684,,,,,,
gpqa,unbounded,domain,Physics,86,0.5930,,,,,,
gpqa,unbounded,domain,Chemistry,93,0.2366,,,,,,
gpqa_sweep,tb1024,overall,ALL,198,0.7727,20.469,115.031,1874.5,10209.3,0.0253,0
gpqa_sweep,tb1024,domain,Biology,19,0.6316,,,,,,
gpqa_sweep,tb1024,domain,Chemistry,93,0.6559,,,,,,
gpqa_sweep,tb1024,domain,Physics,86,0.9302,,,,,,
gpqa_sweep,tb4096,overall,ALL,198,0.7828,54.123,98.732,4774.0,8337.0,0.0354,0
gpqa_sweep,tb4096,domain,Biology,19,0.6316,,,,,,
gpqa_sweep,tb4096,domain,Physics,86,0.9186,,,,,,
gpqa_sweep,tb4096,domain,Chemistry,93,0.6882,,,,,,
gpqa_sweep,tb8192,overall,ALL,198,0.7828,110.519,128.886,8814.5,9890.8,0.0253,0
gpqa_sweep,tb8192,domain,Biology,19,0.6842,,,,,,
gpqa_sweep,tb8192,domain,Physics,86,0.9070,,,,,,
gpqa_sweep,tb8192,domain,Chemistry,93,0.6882,,,,,,
gsm_plus,tb2048,overall,ALL,2000,0.8075,22.173,73.973,2183.0,6603.9,0.0330,0
gsm_plus,tb2048,domain,numerical substitution,250,0.8920,,,,,,
gsm_plus,tb2048,domain,adding operation,250,0.8480,,,,,,
gsm_plus,tb2048,domain,digit expansion,250,0.9400,,,,,,
gsm_plus,tb2048,domain,integer-decimal-fraction conversion,250,0.9640,,,,,,
gsm_plus,tb2048,domain,reversing operation,250,0.9040,,,,,,
gsm_plus,tb2048,domain,problem understanding,250,0.9640,,,,,,
gsm_plus,tb2048,domain,critical thinking,250,0.0000,,,,,,
gsm_plus,tb2048,domain,distraction insertion,250,0.9480,,,,,,
gsm_plus,unbounded,overall,ALL,2000,0.7965,24.028,198.013,2214.0,16384.0,0.1160,0
gsm_plus,unbounded,domain,numerical substitution,250,0.8840,,,,,,
gsm_plus,unbounded,domain,problem understanding,250,0.9520,,,,,,
gsm_plus,unbounded,domain,integer-decimal-fraction conversion,250,0.9640,,,,,,
gsm_plus,unbounded,domain,distraction insertion,250,0.9320,,,,,,
gsm_plus,unbounded,domain,digit expansion,250,0.9360,,,,,,
gsm_plus,unbounded,domain,adding operation,250,0.8120,,,,,,
gsm_plus,unbounded,domain,reversing operation,250,0.8920,,,,,,
gsm_plus,unbounded,domain,critical thinking,250,0.0000,,,,,,
mmlu_pro,tb2048,overall,ALL,1400,0.8264,27.158,36.839,2494.0,3297.1,0.0129,0
mmlu_pro,tb2048,domain,business,100,0.8400,,,,,,
mmlu_pro,tb2048,domain,chemistry,100,0.8700,,,,,,
mmlu_pro,tb2048,domain,biology,100,0.9200,,,,,,
mmlu_pro,tb2048,domain,history,100,0.8100,,,,,,
mmlu_pro,tb2048,domain,philosophy,100,0.8600,,,,,,
mmlu_pro,tb2048,domain,economics,100,0.8800,,,,,,
mmlu_pro,tb2048,domain,other,100,0.8700,,,,,,
mmlu_pro,tb2048,domain,law,100,0.6800,,,,,,
mmlu_pro,tb2048,domain,psychology,100,0.8000,,,,,,
mmlu_pro,tb2048,domain,math,100,0.9100,,,,,,
mmlu_pro,tb2048,domain,engineering,100,0.6900,,,,,,
mmlu_pro,tb2048,domain,health,100,0.7300,,,,,,
mmlu_pro,tb2048,domain,physics,100,0.8800,,,,,,
mmlu_pro,tb2048,domain,computer science,100,0.8300,,,,,,
mmlu_pro,unbounded,overall,ALL,1400,0.7314,69.832,208.918,5669.5,16384.0,0.1650,0
mmlu_pro,unbounded,domain,biology,100,0.8800,,,,,,
mmlu_pro,unbounded,domain,other,100,0.7900,,,,,,
mmlu_pro,unbounded,domain,law,100,0.5400,,,,,,
mmlu_pro,unbounded,domain,math,100,0.7600,,,,,,
mmlu_pro,unbounded,domain,health,100,0.6800,,,,,,
mmlu_pro,unbounded,domain,computer science,100,0.7300,,,,,,
mmlu_pro,unbounded,domain,philosophy,100,0.7900,,,,,,
mmlu_pro,unbounded,domain,history,100,0.7000,,,,,,
mmlu_pro,unbounded,domain,chemistry,100,0.7500,,,,,,
mmlu_pro,unbounded,domain,psychology,100,0.8000,,,,,,
mmlu_pro,unbounded,domain,business,100,0.8000,,,,,,
mmlu_pro,unbounded,domain,physics,100,0.7200,,,,,,
mmlu_pro,unbounded,domain,economics,100,0.8100,,,,,,
mmlu_pro,unbounded,domain,engineering,100,0.4900,,,,,,
